word,count,name
colleges,1,obama
consider,1,obama
demand,1,obama
tested,1,obama
month,1,obama
farms,1,obama
grateful,1,obama
winds,1,obama
decisions,1,obama
children,2,obama
whose,1,obama
father,3,obama
young,1,obama
former,1,obama
hardearned,1,obama
finally,1,obama
unpleasant,1,obama
helps,1,obama
terror,1,obama
safety,1,obama
must,8,obama
resources,1,obama
woman,1,obama
homes,1,obama
far,2,obama
could,1,obama
oceans,1,obama
choice,1,obama
every,8,obama
tanks,1,obama
governments,1,obama
pledge,1,obama
clouds,1,obama
forth,2,obama
joined,1,obama
keepers,1,obama
leave,1,obama
race,1,obama
reaffirming,1,obama
recall,1,obama
small,3,obama
enjoy,1,obama
someday,1,obama
charter,2,obama
smaller,1,obama
force,3,obama
leaders,1,obama
dogmas,1,obama
campfires,1,obama
measurable,1,obama
filled,1,obama
cost,1,obama
pass,1,obama
delivered,1,obama
makers,1,obama
universities,1,obama
afghanistan,1,obama
power,4,obama
giving,1,obama
sun,1,obama
sum,1,obama
celebrated,1,obama
mall,1,obama
liberty,2,obama
hardship,1,obama
capital,1,obama
new,11,obama
seeks,1,obama
era,2,obama
drafted,1,obama
full,1,obama
faroff,1,obama
months,1,obama
men,4,obama
understanding,1,obama
hours,2,obama
met,2,obama
let,7,obama
humility,1,obama
alone,1,obama
path,2,obama
iraq,1,obama
change,1,obama
deserts,1,obama
settling,1,obama
search,1,obama
changed,1,obama
example,1,obama
smoke,1,obama
pick,1,obama
action,1,obama
narrow,1,obama
settled,1,obama
honor,1,obama
risktakers,1,obama
stained,1,obama
danger,1,obama
inducing,1,obama
manage,1,obama
prefer,1,obama
patriots,1,obama
muslim,1,obama
apply,1,obama
cynics,1,obama
crisis,4,obama
market,2,obama
standing,1,obama
confidence,2,obama
remaking,1,obama
wealth,2,obama
would,1,obama
remains,1,obama
wield,1,obama
next,1,obama
live,1,obama
doubt,1,obama
dissent,1,obama
taken,2,obama
societys,1,obama
tell,1,obama
today,6,obama
grandest,1,obama
fellow,1,obama
afford,2,obama
brings,1,obama
local,1,obama
restaurant,1,obama
everywhere,1,obama
accept,1,obama
gladly,1,obama
midst,1,obama
factories,1,obama
effort,1,obama
women,4,obama
states,1,obama
account,1,obama
join,1,obama
hour,1,obama
rights,1,obama
pursue,1,obama
science,1,obama
work,6,obama
remain,2,obama
values,1,obama
achieve,1,obama
meet,4,obama
nurture,1,obama
route,1,obama
history,3,obama
control,1,obama
heart,1,obama
citizens,1,obama
patrol,1,obama
give,1,obama
nonbelievers,1,obama
high,1,obama
childrens,1,obama
something,2,obama
justness,1,obama
godgiven,1,obama
advancing,1,obama
wornout,1,obama
productive,1,obama
end,4,obama
winter,2,obama
turn,1,obama
rather,3,obama
specter,1,obama
till,1,obama
vital,1,obama
cling,1,obama
reject,1,obama
answer,2,obama
instead,1,obama
struggled,1,obama
dignified,1,obama
economy,3,obama
badly,1,obama
product,1,obama
plans,1,obama
may,3,obama
waters,2,obama
youve,1,obama
loyalty,1,obama
shores,1,obama
fascism,1,obama
wrong,1,obama
united,2,obama
lay,1,obama
waver,1,obama
president,1,obama
heroes,1,obama
law,1,obama
data,1,obama
man,3,obama
dangers,1,obama
short,2,obama
remember,2,obama
bind,1,obama
lines,2,obama
courage,3,obama
responsibility,1,obama
forebears,1,obama
things,4,obama
putting,1,obama
began,1,obama
greed,1,obama
kindness,1,obama
unfolds,1,obama
help,1,obama
office,1,obama
move,1,obama
gettysburg,1,obama
soon,1,obama
years,1,obama
jews,1,obama
held,1,obama
still,2,obama
scale,1,obama
bridges,1,obama
thank,2,obama
possessions,1,obama
chosen,1,obama
labor,1,obama
